Date,Open,High,Low,Close,Volume
12/8/2023 16:00:00,186.18,187.59,185.6,187.28,471299
12/11/2023 16:00:00,186.81,187.71,186.28,187.08,284610
12/12/2023 16:00:00,184.76,185.21,184.05,184.8,274262
12/13/2023 16:00:00,184.01,186.29,183.03,185.48,349549
12/14/2023 16:00:00,181.88,184.77,181.61,183.42,521533
12/15/2023 16:00:00,182.81,183.04,180.59,180.62,375458
12/18/2023 16:00:00,183.87,184.19,182.88,183.28,294933
12/19/2023 16:00:00,184.8,185.1,183.9,183.95,200959
12/20/2023 16:00:00,180.45,182.54,179.88,179.94,429368
12/21/2023 16:00:00,178.78,181.24,178.58,180.86,347241
12/22/2023 16:00:00,178.06,179.24,178,178.53,322893
12/26/2023 16:00:00,178.53,180.37,178.53,179.85,198694
12/27/2023 16:00:00,180.38,181.11,180.08,180.72,195476
12/28/2023 16:00:00,181.02,181.69,180.95,181.11,243007
12/29/2023 16:00:00,183.13,183.88,182.36,183.38,223223
1/2/2024 16:00:00,182.15,182.9,181.16,181.37,243719
1/3/2024 16:00:00,180.84,182.47,180.07,181.55,273541
1/4/2024 16:00:00,183.09,184.2,182.73,182.97,273146
1/5/2024 16:00:00,186,188.71,185.64,187.07,336123
1/8/2024 16:00:00,187.5,188.16,186.43,187.89,359430
1/9/2024 16:00:00,186.53,186.66,185.29,185.99,254737
1/10/2024 16:00:00,190,192.81,189.57,192.72,458140
1/11/2024 16:00:00,195.31,196.48,193.78,194.95,361838
1/12/2024 16:00:00,195.06,195.98,194.8,195.68,208173
1/16/2024 16:00:00,195.29,196.5,194.5,195.6,273722
1/17/2024 16:00:00,193.26,194.39,193.03,194.14,231949
1/18/2024 16:00:00,199.43,200.27,198.29,200.08,413120
1/19/2024 16:00:00,200.1,200.7,198.85,200.67,286660
1/22/2024 16:00:00,201.24,201.95,200.4,201.42,369643
1/23/2024 16:00:00,200.68,202,200.68,201.4,228993
1/24/2024 16:00:00,200.87,201.68,200.36,200.72,314546
1/25/2024 16:00:00,200.71,200.73,198.65,199.56,194737
1/26/2024 16:00:00,197.24,198.21,197.07,198.06,194254
1/29/2024 16:00:00,199.68,201.85,199.08,201.66,281141
1/30/2024 16:00:00,202.01,202.41,201.51,201.85,144323
1/31/2024 16:00:00,202.28,202.35,199.29,199.7,297990
2/1/2024 16:00:00,200.63,202.35,199.81,202.18,168690
2/2/2024 16:00:00,200.9,202.64,200.54,202.54,241242
2/5/2024 16:00:00,202.29,203.18,201.41,203.03,329664
2/6/2024 16:00:00,211.87,221.77,211.82,218.86,1143150
2/7/2024 16:00:00,222.34,224.02,220.86,223.05,492662
2/8/2024 16:00:00,225.32,226.4,223.83,226.31,322983
2/9/2024 16:00:00,223.82,225.14,223.75,224.46,239094
2/12/2024 16:00:00,223.82,226.87,223.56,225.86,246285
2/13/2024 16:00:00,227.59,232.56,227.3,231,733380
2/14/2024 16:00:00,226,227.16,224.48,227.03,324767
2/15/2024 16:00:00,226.14,228.64,226.14,228.54,239020
2/16/2024 16:00:00,227.83,228.54,226.63,227.36,241975
2/20/2024 16:00:00,227.78,228.46,225.58,226.77,298512
2/21/2024 16:00:00,227.22,227.66,225.8,227.09,430588
2/22/2024 16:00:00,234.17,235.15,233.01,234.45,461290
2/23/2024 16:00:00,235,235.76,234.34,235,279172
2/26/2024 16:00:00,237.59,238.78,236.54,238.13,332869
2/27/2024 16:00:00,238.19,238.84,236.59,238.04,301015
2/28/2024 16:00:00,237.93,238.19,237,237.29,168896
2/29/2024 16:00:00,240.92,241.66,239.65,240.55,257110
3/1/2024 16:00:00,244.66,246.54,244.56,246.04,338591
3/4/2024 16:00:00,244.19,244.79,243.24,243.84,281458
3/5/2024 16:00:00,247.71,249.99,246.81,248.19,314115
3/6/2024 16:00:00,252.15,253.43,250.93,252.4,331252
3/7/2024 16:00:00,246.93,248.05,245.7,247.94,359812
3/8/2024 16:00:00,245,245.8,242.58,242.82,379629
3/11/2024 16:00:00,237.41,237.41,235.17,235.46,380025
3/12/2024 16:00:00,236.81,238.44,235.45,237.95,243114
3/13/2024 16:00:00,233.41,233.54,231.37,232.83,298261
3/14/2024 16:00:00,233.36,233.36,230.36,230.97,224891
3/15/2024 16:00:00,234.91,235.12,233.54,234.62,179136
3/18/2024 16:00:00,237.58,238.83,237.28,238.66,194198
3/19/2024 16:00:00,242.68,245.09,242.41,244.32,347608
3/20/2024 16:00:00,244.68,246.8,244.31,246.72,214883
3/21/2024 16:00:00,251.45,251.79,250.26,251.48,245505
3/22/2024 16:00:00,255,255.23,253.59,254.77,285516
3/25/2024 16:00:00,252.11,253.42,251.04,252.41,196883
3/26/2024 16:00:00,253.89,254.79,253.39,253.72,214946
3/27/2024 16:00:00,253.7,254.2,250.33,252.15,242749
